k;time;N;Grid Size;Block Size
0;1.974100e-02;100000000;256;256
1;1.272700e-02;100000000;256;256
2;1.273900e-02;100000000;256;256
3;1.279900e-02;100000000;256;256
4;1.332700e-02;100000000;256;256
5;1.334000e-02;100000000;256;256
6;1.337600e-02;100000000;256;256
7;1.350500e-02;100000000;256;256
8;1.346300e-02;100000000;256;256
9;1.335000e-02;100000000;256;256
10;1.337700e-02;100000000;256;256
11;1.336800e-02;100000000;256;256
12;1.322400e-02;100000000;256;256
13;1.321600e-02;100000000;256;256
14;1.320000e-02;100000000;256;256
15;1.319600e-02;100000000;256;256
16;1.124400e-02;100000000;256;256
17;1.288600e-02;100000000;256;256
18;1.291300e-02;100000000;256;256
19;1.286500e-02;100000000;256;256
20;1.321800e-02;100000000;256;256
21;1.328900e-02;100000000;256;256
22;1.313200e-02;100000000;256;256
23;1.326500e-02;100000000;256;256
24;1.328700e-02;100000000;256;256
25;1.350700e-02;100000000;256;256
26;1.346100e-02;100000000;256;256
27;1.349700e-02;100000000;256;256
28;1.332100e-02;100000000;256;256
29;1.304900e-02;100000000;256;256
30;1.302900e-02;100000000;256;256
31;1.304600e-02;100000000;256;256
32;1.015400e-02;100000000;256;256
33;1.263500e-02;100000000;256;256
34;1.276400e-02;100000000;256;256
35;1.267200e-02;100000000;256;256
36;1.321900e-02;100000000;256;256
37;1.333700e-02;100000000;256;256
38;1.335500e-02;100000000;256;256
39;1.329900e-02;100000000;256;256
40;1.336000e-02;100000000;256;256
41;1.329800e-02;100000000;256;256
42;1.330400e-02;100000000;256;256
43;1.331400e-02;100000000;256;256
44;1.308600e-02;100000000;256;256
45;1.310700e-02;100000000;256;256
46;1.309800e-02;100000000;256;256
47;1.302700e-02;100000000;256;256
48;1.118500e-02;100000000;256;256
49;1.280500e-02;100000000;256;256
50;1.281100e-02;100000000;256;256
51;1.290400e-02;100000000;256;256
52;1.311700e-02;100000000;256;256
53;1.323200e-02;100000000;256;256
54;1.316100e-02;100000000;256;256
55;1.320900e-02;100000000;256;256
56;1.328200e-02;100000000;256;256
57;1.349200e-02;100000000;256;256
58;1.340100e-02;100000000;256;256
59;1.348300e-02;100000000;256;256
60;1.334400e-02;100000000;256;256
61;1.298900e-02;100000000;256;256
62;1.301000e-02;100000000;256;256
63;1.294200e-02;100000000;256;256
64;1.014700e-02;100000000;256;256
