k;time;N;Grid Size;Block Size
1;1.209800e-02;100000000;256;256
2;1.631800e-02;100000000;256;256
3;1.685000e-02;100000000;256;256
4;1.626600e-02;100000000;256;256
5;1.461600e-02;100000000;256;256
6;1.222600e-02;100000000;256;256
7;1.159700e-02;100000000;256;256
8;8.951000e-03;100000000;256;256
9;1.016700e-02;100000000;256;256
10;9.751000e-03;100000000;256;256
11;9.549000e-03;100000000;256;256
12;7.915000e-03;100000000;256;256
13;8.896000e-03;100000000;256;256
14;8.358000e-03;100000000;256;256
15;8.506000e-03;100000000;256;256
16;5.863000e-03;100000000;256;256
17;6.777000e-03;100000000;256;256
18;6.755000e-03;100000000;256;256
19;6.855000e-03;100000000;256;256
20;6.306000e-03;100000000;256;256
21;6.524000e-03;100000000;256;256
22;6.363000e-03;100000000;256;256
23;6.298000e-03;100000000;256;256
24;5.933000e-03;100000000;256;256
25;6.015000e-03;100000000;256;256
26;5.834000e-03;100000000;256;256
27;5.800000e-03;100000000;256;256
28;5.496000e-03;100000000;256;256
29;5.556000e-03;100000000;256;256
30;5.373000e-03;100000000;256;256
31;5.155000e-03;100000000;256;256
32;4.163000e-03;100000000;256;256
33;4.879000e-03;100000000;256;256
34;4.904000e-03;100000000;256;256
35;4.896000e-03;100000000;256;256
36;4.772000e-03;100000000;256;256
37;4.795000e-03;100000000;256;256
38;4.717000e-03;100000000;256;256
39;4.631000e-03;100000000;256;256
40;4.447000e-03;100000000;256;256
41;4.466000e-03;100000000;256;256
42;4.428000e-03;100000000;256;256
43;4.362000e-03;100000000;256;256
44;4.280000e-03;100000000;256;256
45;4.235000e-03;100000000;256;256
46;4.188000e-03;100000000;256;256
47;4.146000e-03;100000000;256;256
48;4.119000e-03;100000000;256;256
49;4.015000e-03;100000000;256;256
50;3.919000e-03;100000000;256;256
51;3.792000e-03;100000000;256;256
52;3.715000e-03;100000000;256;256
53;3.616000e-03;100000000;256;256
54;3.534000e-03;100000000;256;256
55;3.427000e-03;100000000;256;256
56;3.340000e-03;100000000;256;256
57;3.269000e-03;100000000;256;256
58;3.197000e-03;100000000;256;256
59;3.095000e-03;100000000;256;256
60;2.994000e-03;100000000;256;256
61;2.897000e-03;100000000;256;256
62;2.828000e-03;100000000;256;256
63;2.735000e-03;100000000;256;256
64;2.357000e-03;100000000;256;256
