N;k;time_CPU;time_cublas;time_xDOTy;time_xDOTy8
1000;8;3.900000e-05;4.240000e-04;3.920000e-04;1.590000e-04
1000;16;6.000000e-05;6.220000e-04;7.300000e-04;2.840000e-04
1000;24;6.700000e-05;9.390000e-04;1.085000e-03;4.280000e-04
1000;32;9.000000e-05;1.192000e-03;1.449000e-03;5.620000e-04
10000;8;2.400000e-04;3.970000e-04;3.730000e-04;1.530000e-04
10000;16;4.630000e-04;7.570000e-04;7.290000e-04;2.940000e-04
10000;24;7.220000e-04;1.075000e-03;1.098000e-03;4.390000e-04
10000;32;9.900000e-04;1.494000e-03;1.452000e-03;5.990000e-04
100000;8;2.488000e-03;2.670000e-04;1.270000e-04;7.000000e-05
100000;16;4.808000e-03;4.910000e-04;2.380000e-04;1.290000e-04
100000;24;7.327000e-03;5.440000e-04;3.030000e-04;1.710000e-04
100000;32;9.874000e-03;7.670000e-04;3.940000e-04;2.160000e-04
1000000;8;2.564300e-02;7.510000e-04;5.880000e-04;3.240000e-04
1000000;16;5.151600e-02;1.468000e-03;1.165000e-03;6.560000e-04
1000000;24;7.652900e-02;2.138000e-03;1.733000e-03;9.390000e-04
1000000;32;1.023210e-01;2.832000e-03;2.311000e-03;1.250000e-03
