N;K;time_single;time_rm_stacked;time_cm_stacked
100;2;7.6e-05;6.5e-05;7.2e-05
100;4;0.000123;0.000109;0.000112
100;8;0.00022;0.000173;0.000174
100;16;0.00042;0.00032;0.000318
1024;2;8.7e-05;7.7e-05;7.9e-05
1024;4;0.000138;0.000134;0.000119
1024;8;0.000256;0.000226;0.000208
1024;16;0.000483;0.000407;0.000379
10000;2;0.000155;0.000157;0.000168
10000;4;0.000243;0.000298;0.000258
10000;8;0.000246;0.000389;0.000373
10000;16;0.000421;0.000674;0.000661
100489;2;0.000393;0.000518;0.000592
100489;4;0.000548;0.001202;0.001078
100489;8;0.000795;0.002338;0.002154
100489;16;0.001343;0.004967;0.004414
1000000;2;0.00275;0.004425;0.004383
1000000;4;0.00409;0.009975;0.009377
1000000;8;0.006948;0.021874;0.020217
1000000;16;0.0122;0.048415;0.04327
