N;K;time_single;time_rm_stacked;time_cm_stacked
100;2;0.000221;8e-05;8.2e-05
100;4;0.000127;0.000125;0.000106
100;8;0.000239;0.000169;0.000149
100;16;0.000416;0.000293;0.000291
1024;2;0.000108;8.9e-05;0.000108
1024;4;0.000161;0.000124;0.000126
1024;8;0.000318;0.000195;0.000235
1024;16;0.000494;0.000376;0.000556
10000;2;0.000201;0.000147;0.000156
10000;4;0.000277;0.000255;0.000363
10000;8;0.000454;0.00046;0.000698
10000;16;0.000467;0.000566;0.001357
100489;2;0.000615;0.000479;0.000633
100489;4;0.000672;0.000817;0.001112
100489;8;0.00134;0.001603;0.002591
100489;16;0.001784;0.003455;0.006382
1000000;2;0.005227;0.002819;0.002932
1000000;4;0.004265;0.005781;0.006221
1000000;8;0.006943;0.011064;0.01183
1000000;16;0.012064;0.022178;0.02471
100;3;0.000124;8.3e-05;8.3e-05
100;5;0.000171;0.000121;0.000159
100;9;0.000266;0.000193;0.000164
100;15;0.00047;0.000287;0.000281
10000;3;0.00027;0.0002;0.00025
10000;5;0.000331;0.000325;0.00044
10000;9;0.000525;0.000536;0.000815
10000;15;0.000753;0.000807;0.001475
1000000;3;0.004152;0.004035;0.004501
1000000;5;0.004913;0.006751;0.007475
1000000;9;0.007594;0.012446;0.013904
1000000;15;0.011592;0.021532;0.025006

