N;K;time_single;time_rm_stacked;time_cm_stacked
100;3;0.000109;9.1e-05;9.1e-05
100;5;0.000154;0.000126;0.000127
100;9;0.000254;0.000189;0.000194
100;15;0.000392;0.000315;0.000302
1024;3;0.000128;0.000102;9.5e-05
1024;5;0.000184;0.000151;0.000145
1024;9;0.000287;0.000242;0.000225
1024;15;0.00046;0.000381;0.000354
10000;3;0.00024;0.000225;0.000213
10000;5;0.000311;0.00037;0.000353
10000;9;0.000515;0.000576;0.000613
10000;15;0.000759;0.000927;0.000972
100489;3;0.000645;0.000786;0.001003
100489;5;0.000774;0.001421;0.00158
100489;9;0.00105;0.00255;0.002559
100489;15;0.001472;0.004695;0.004294
1000000;3;0.005892;0.007189;0.006867
1000000;5;0.004944;0.013123;0.012078
1000000;9;0.007561;0.025122;0.022915
1000000;15;0.011893;0.046842;0.04136
