N;K;time_single;time_rm_stacked;time_cm_stacked
128;3;0.016488;2.5e-05;1.5e-05
128;5;1.3e-05;1e-05;1e-05
128;9;2.5e-05;1.5e-05;1.6e-05
128;15;4.1e-05;4e-05;1.6e-05
1024;3;2.3e-05;1.6e-05;1.5e-05
1024;5;2e-05;1.2e-05;1.3e-05
1024;9;3e-05;1.4e-05;1.6e-05
1024;15;2.1e-05;1.1e-05;1.5e-05
16384;3;2.2e-05;1.5e-05;1.3e-05
16384;5;3.7e-05;1.6e-05;1.9e-05
16384;9;1.8e-05;9e-06;9e-06
16384;15;2e-05;1.1e-05;1e-05
131072;3;2.2e-05;2.9e-05;1.5e-05
131072;5;3e-05;9e-06;1e-05
131072;9;2.3e-05;1.3e-05;2.8e-05
131072;15;2.1e-05;1e-05;1.1e-05
1048576;3;1.7e-05;1e-05;4.1e-05
1048576;5;1.6e-05;1.3e-05;1e-05
1048576;9;2e-05;1e-05;1.4e-05
1048576;15;2.2e-05;1e-05;1e-05
