N;K;time_single;time_rm_stacked;time_cm_stacked
100;2;7.7e-05;5.1e-05;6.6e-05
100;4;0.00011;8.4e-05;9.2e-05
100;8;0.000206;0.000151;0.000136
100;16;0.000407;0.000275;0.000259
10000;2;0.000223;0.000125;0.000153
10000;4;0.000278;0.000251;0.000316
10000;8;0.000452;0.000436;0.000675
10000;16;0.000806;0.000822;0.001508
1000000;2;0.003337;0.002743;0.002909
1000000;4;0.004171;0.005211;0.005525
1000000;8;0.006849;0.010556;0.010996
1000000;16;0.012135;0.020767;0.022625
1000;2;0.016774;1.7e-05;1e-05
1000;4;2.1e-05;1.5e-05;1.4e-05
1000;8;2.9e-05;1.6e-05;1.5e-05
1000;16;5.3e-05;1.2e-05;1.2e-05
100000;2;1.6e-05;1e-05;1e-05
100000;4;2.9e-05;1e-05;2.2e-05
100000;8;2e-05;1e-05;9e-06
100000;16;2.1e-05;1e-05;1e-05
1000;3;0.017057;1.8e-05;1e-05
1000;5;1.6e-05;1.2e-05;1e-05
1000;9;1.4e-05;1e-05;1e-05
1000;15;1.8e-05;1e-05;1e-05
100000;3;1.7e-05;1e-05;1e-05
100000;5;1.6e-05;1e-05;9e-06
100000;9;1.9e-05;1e-05;9e-06
100000;15;2.1e-05;1e-05;1.1e-05
1000000;3;0.005935;0.003892;0.004072
1000000;5;0.004851;0.006646;0.007309
1000000;9;0.007487;0.011696;0.012393
1000000;15;0.011428;0.020518;0.021139
100;3;0.000111;9.8e-05;8.2e-05
100;5;0.000155;0.000118;0.000117
100;9;0.000249;0.000181;0.000168
100;15;0.000418;0.000273;0.000245
10000;3;0.000273;0.0002;0.000252
10000;5;0.000328;0.00031;0.000428
10000;9;0.000514;0.000516;0.000789
10000;15;0.000758;0.000807;0.001449
1000000;3;0.00426;0.004073;0.004163
1000000;5;0.004844;0.006624;0.006922
1000000;9;0.007514;0.012025;0.012445
1000000;15;0.011426;0.019859;0.021601
