N;K;time_single;time_rm_stacked;time_cm_stacked
100;2;7.7e-05;7.2e-05;6.6e-05
100;4;0.000128;0.000113;0.000104
100;8;0.000222;0.000186;0.000173
100;16;0.000419;0.000337;0.000316
1024;2;8.8e-05;7.8e-05;7.8e-05
1024;4;0.00014;0.000138;0.000115
1024;8;0.000257;0.000223;0.000203
1024;16;0.000484;0.000409;0.000381
10000;2;0.000135;0.000156;0.000136
10000;4;0.000152;0.000206;0.000192
10000;8;0.00023;0.000377;0.000357
10000;16;0.000251;0.000504;0.000503
100489;2;0.000369;0.000538;0.000581
100489;4;0.000538;0.001029;0.000922
100489;8;0.000804;0.001988;0.001815
100489;16;0.001341;0.004278;0.003162
