N;K;time_single;time_rm_stacked;time_cm_stacked
100;2;7.8e-05;6.7e-05;7.2e-05
100;4;0.000123;0.000108;0.000108
100;8;0.000226;0.000175;0.000173
100;16;0.000423;0.00032;0.000316
1024;2;8.7e-05;7.8e-05;7.4e-05
1024;4;0.000141;0.00013;0.00012
1024;8;0.00026;0.000217;0.000212
1024;16;0.000487;0.000407;0.000372
10000;2;0.000137;0.000156;0.000145
10000;4;0.000238;0.000315;0.000235
10000;8;0.000233;0.000352;0.000344
10000;16;0.000423;0.000683;0.000624
100489;2;0.000364;0.000512;0.000533
100489;4;0.000523;0.001106;0.001092
100489;8;0.000795;0.002231;0.00205
100489;16;0.001353;0.005092;0.004418
1000000;2;0.002856;0.004336;0.00442
1000000;4;0.004079;0.010237;0.009505
1000000;8;0.006804;0.021764;0.019891
1000000;16;0.012133;0.048562;0.043389
