N;K;time_single;time_rm_stacked;time_cm_stacked
100;3;0.000101;8.9e-05;8.1e-05
100;5;0.00015;0.000127;0.000119
100;9;0.000246;0.000208;0.000197
100;15;0.000395;0.000317;0.000291
1024;3;0.000125;0.000109;0.0001
1024;5;0.000169;0.000152;0.000142
1024;9;0.000288;0.000244;0.000236
1024;15;0.000456;0.000383;0.000347
10000;3;0.000184;0.000209;0.00019
10000;5;0.00027;0.00035;0.000299
10000;9;0.000454;0.000581;0.000524
10000;15;0.000397;0.000637;0.000601
100489;3;0.000443;0.000807;0.000709
100489;5;0.000589;0.001332;0.001116
100489;9;0.000908;0.002341;0.001911
100489;15;0.001257;0.003941;0.002966
