N;K;time_single;time_rm_stacked;time_cm_stacked
100;2;7.8e-05;7.7e-05;7.6e-05
100;4;0.000128;0.000104;9.9e-05
100;8;0.000226;0.000152;0.00014
100;16;0.000426;0.000274;0.000245
1024;2;8.8e-05;8.2e-05;8.6e-05
1024;4;0.00015;0.000125;0.000118
1024;8;0.00026;0.000239;0.000211
1024;16;0.000483;0.00054;0.000483
10000;2;0.000147;0.000151;0.000142
10000;4;0.000231;0.000278;0.000268
10000;8;0.000405;0.000609;0.000577
10000;16;0.000436;0.001282;0.000774
100489;2;0.000357;0.000541;0.000595
100489;4;0.000538;0.00131;0.001124
100489;8;0.000779;0.003167;0.00259
100489;16;0.001325;0.008506;0.006749
1000000;2;0.002904;0.004665;0.004682
1000000;4;0.004112;0.01095;0.009078
1000000;8;0.006856;0.030107;0.024463
1000000;16;0.01217;0.083457;0.068653
