N;points_per_direction;target;gen_type;ocl_time;cpu_time;check;diff_norm
256;16;CPU;1;0.000358;1.5e-05;0;1
256;16;CPU;2;0.000331;0.000165;0;1
1024;32;CPU;1;0.000133;2.5e-05;0;1
1024;32;CPU;2;0.00051;0.001623;0;1
2304;48;CPU;1;0.000171;4.8e-05;0;1
2304;48;CPU;2;0.001286;0.004982;0;1
4096;64;CPU;1;0.000141;7.7e-05;0;1
4096;64;CPU;2;0.00204;0.010057;0;1
9216;96;CPU;1;0.000249;0.000164;0;1
9216;96;CPU;2;0.004685;0.026312;0;1
16384;128;CPU;1;0.000246;0.000286;0;1
16384;128;CPU;2;0.008621;0.050641;0;1
20736;144;CPU;1;0.000241;0.000378;0;1
20736;144;CPU;2;0.010651;0.063811;0;1
