N;points_per_direction;target;gen_type;ocl_time;cpu_time;check;diff_norm
256;16;GPU;1;0.000285;1.5e-05;0;1
256;16;GPU;2;0.001687;0.000168;0;1
1024;32;GPU;1;0.000415;2.7e-05;0;1
1024;32;GPU;2;0.005037;0.00168;0;1
2304;48;GPU;1;0.000332;4.8e-05;0;1
2304;48;GPU;2;0.011472;0.005021;0;1
4096;64;GPU;1;0.000383;8.2e-05;0;1
4096;64;GPU;2;0.020392;0.010145;0;1
9216;96;GPU;1;0.000535;0.000213;0;1
9216;96;GPU;2;0.046666;0.025224;0;1
16384;128;GPU;1;0.000612;0.000285;0;1
16384;128;GPU;2;0.088775;0.047401;0;1
20736;144;GPU;1;0.000708;0.000369;0;1
20736;144;GPU;2;0.110083;0.065429;0;1
