N;points_per_direction;target;gen_type;ocl_time;cpu_time;check;diff_norm
256;16;GPU;1;0.000285;1.5e-05;0;1
256;16;GPU;2;0.004174;0.000208;0;1
1024;32;GPU;1;0.000312;2.8e-05;0;1
1024;32;GPU;2;0.005111;0.001628;0;1
2304;48;GPU;1;0.000379;4.8e-05;0;1
2304;48;GPU;2;0.011523;0.005085;0;1
4096;64;GPU;1;0.000405;0.000192;0;1
4096;64;GPU;2;0.020969;0.010298;0;1
9216;96;GPU;1;0.000477;0.000164;0;1
9216;96;GPU;2;0.048399;0.026301;0;1
16384;128;GPU;1;0.000663;0.000322;0;1
16384;128;GPU;2;0.09272;0.053164;0;1
20736;144;GPU;1;0.000741;0.000389;0;1
20736;144;GPU;2;0.113186;0.066145;0;1
25600;160;GPU;1;0.001004;0.000456;0;1
25600;160;GPU;2;0.140294;0.091078;0;1
